step,action,action_name,reward,reward_ext,reward_ride,reward_train,ride_control_reward,ride_count_scale,done,truncated,agent_x,agent_y,agent_dir,carrying
1,2,forward,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,1,2,
2,0,left,0.0,0.0,0.0,0.0,0.0,1.0,False,False,3,1,1,
3,3,pickup,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,False,False,3,1,1,
4,3,pickup,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,False,3,1,1,
5,3,pickup,0.0,0.0,0.0,0.0,0.0,0.5,False,False,3,1,1,
6,3,pickup,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,False,False,3,1,1,
7,3,pickup,0.0,0.0,0.0,0.0,0.0,0.4082482904638631,False,False,3,1,1,
8,3,pickup,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,False,False,3,1,1,
9,3,pickup,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,False,False,3,1,1,
10,3,pickup,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,False,False,3,1,1,
11,3,pickup,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,False,False,3,1,1,
12,3,pickup,0.0,0.0,0.0,0.0,0.0,0.30151134457776363,False,False,3,1,1,
13,3,pickup,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,False,False,3,1,1,
14,3,pickup,0.0,0.0,0.0,0.0,0.0,0.2773500981126146,False,False,3,1,1,
15,3,pickup,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,False,False,3,1,1,
16,3,pickup,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,False,False,3,1,1,
17,3,pickup,0.0,0.0,0.0,0.0,0.0,0.25,False,False,3,1,1,
18,3,pickup,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,False,False,3,1,1,
19,3,pickup,0.0,0.0,0.0,0.0,0.0,0.23570226039551587,False,False,3,1,1,
20,3,pickup,0.0,0.0,0.0,0.0,0.0,0.22941573387056174,False,False,3,1,1,
21,3,pickup,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,False,False,3,1,1,
22,3,pickup,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,False,False,3,1,1,
23,3,pickup,0.0,0.0,0.0,0.0,0.0,0.21320071635561041,False,False,3,1,1,
24,3,pickup,0.0,0.0,0.0,0.0,0.0,0.20851441405707477,False,False,3,1,1,
25,3,pickup,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,False,False,3,1,1,
26,3,pickup,0.0,0.0,0.0,0.0,0.0,0.2,False,False,3,1,1,
27,3,pickup,0.0,0.0,0.0,0.0,0.0,0.19611613513818404,False,False,3,1,1,
28,3,pickup,0.0,0.0,0.0,0.0,0.0,0.19245008972987526,False,False,3,1,1,
29,3,pickup,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,False,False,3,1,1,
